Player Name,Pos.,Birthdate,Birthplace,Country,Seasons,GP,G,A,Pts,PIM,Yrs.,Birthplace_original,Country_original
Aaron Ekblad,D,07-02-1996,"Windsor, ON, Canada",Canada,2014-2026,804,122,284,406,560,12,"Windsor, ON, Canada",Canada
Aaron Gagnon,F,24-04-1986,"Quesnel, BC, Canada",Canada,2009-2013,38,3,2,5,2,4,"Quesnel, BC, Canada",Canada
Aaron Gavey,C,22-02-1974,"Sudbury, ON, Canada",Canada,1995-2006,360,41,50,91,272,9,"Sudbury, ON, Canada",Canada
Aaron Johnson,D,30-04-1983,"Port Hawkesbury, NS, Canada",Canada,2003-2013,291,17,45,62,227,8,"Port Hawkesbury, NS, Canada",Canada
Aaron MacKenzie,D,27-03-1981,"Terrace Bay, ON, Canada",Canada,2008-2009,5,0,0,0,0,1,"Terrace Bay, ON, Canada",Canada
Aaron Rome,D,27-09-1983,"Brandon, MB, Canada",Canada,2006-2014,226,6,22,28,185,8,"Brandon, MB, Canada",Canada
Aaron Volpatti,L,30-05-1985,"Revelstoke, BC, Canada",Canada,2010-2015,114,5,2,7,137,5,"Revelstoke, BC, Canada",Canada
Aaron Voros,R,02-07-1981,"Vancouver, BC, Canada",Canada,2007-2011,162,18,19,37,395,4,"Vancouver, BC, Canada",Canada
Aaron Ward,D,17-01-1973,"Windsor, ON, Canada",Canada,1993-2010,839,44,107,151,736,15,"Windsor, ON, Canada",Canada
Ab DeMarco,C,10-05-1916,"North Bay, ON, Canada",Canada,1938-1947,210,72,93,165,53,7,"North Bay, ON, Canada",Canada
Ab McDonald,L,18-02-1936,"Winnipeg, MB, Canada",Canada,1957-1972,762,182,248,430,200,15,"Winnipeg, MB, Canada",Canada
Abby Cox,G,19-07-1904,"London, ON, Canada",Canada,1929-1936,5,0,0,0,0,3,"London, ON, Canada",Canada
Abram Wiebe,D,28-08-2003,"Mission, BC, Canada",Canada,2025-2026,4,0,0,0,2,1,"Mission, BC, Canada",Canada
Adam Beckman,L,10-05-2001,"Saskatoon, SK, Canada",Canada,2021-2024,23,0,3,3,14,3,"Saskatoon, SK, Canada",Canada
Adam Bennett,D,30-03-1971,"Georgetown, ON, Canada",Canada,1991-1994,69,3,8,11,69,3,"Georgetown, ON, Canada",Canada
Adam Berti,L,01-07-1986,"Oshawa, ON, Canada",Canada,2007-2008,2,0,0,0,0,1,"Oshawa, ON, Canada",Canada
Adam Brooks,C,06-05-1996,"Winnipeg, MB, Canada",Canada,2019-2022,43,6,5,11,2,3,"Winnipeg, MB, Canada",Canada
Adam Cracknell,R,15-07-1985,"Prince Albert, SK, Canada",Canada,2010-2019,210,21,22,43,46,9,"Prince Albert, SK, Canada",Canada
Adam Creighton,C,02-06-1965,"Burlington, ON, Canada",Canada,1983-1997,708,187,216,403,1077,14,"Burlington, ON, Canada",Canada
Adam Deadmarsh,R,10-05-1975,"Trail, BC, Canada",Canada,1994-2003,567,184,189,373,819,9,"Trail, BC, Canada",Canada
Adam Fantilli,C,12-10-2004,"Nobleton, ON, Canada",Canada,2023-2026,213,67,73,140,72,3,"Nobleton, ON, Canada",Canada
Adam Foote,D,10-07-1971,"Toronto, ON, Canada",Canada,1991-2011,1154,66,242,308,1534,19,"Toronto, ON, Canada",Canada
Adam Graves,L,12-04-1968,"Tecumseh, ON, Canada",Canada,1987-2003,1152,329,287,616,1224,16,"Tecumseh, ON, Canada",Canada
Adam Henrique,C,06-02-1990,"Brantford, ON, Canada",Canada,2010-2026,1058,278,294,572,322,16,"Brantford, ON, Canada",Canada
Adam Mair,C,15-02-1979,"Hamilton, ON, Canada",Canada,1998-2011,615,38,76,114,829,12,"Hamilton, ON, Canada",Canada
Adam McQuaid,D,12-10-1986,"Charlottetown, PE, Canada",Canada,2009-2019,512,16,57,73,694,10,"Charlottetown, PE, Canada",Canada
Adam Munro,G,12-11-1982,"St. George, ON, Canada",Canada,2003-2006,17,0,1,1,2,2,"St. George, ON, Canada",Canada
Adam Oates,C,27-08-1962,"Weston, ON, Canada",Canada,1985-2004,1337,341,1079,1420,415,19,"Weston, ON, Canada",Canada
Adam Pardy,D,29-03-1984,"Bonavista, NL, Canada",Canada,2008-2017,342,4,48,52,269,9,"Bonavista, NL, Canada",Canada
Adam Payerl,C,04-03-1991,"Kitchener, ON, Canada",Canada,2013-2014,2,0,0,0,2,1,"Kitchener, ON, Canada",Canada
Adam Pelech,D,16-08-1994,"Toronto, ON, Canada",Canada,2015-2026,642,30,147,177,283,11,"Toronto, ON, Canada",Canada
Adin Hill,G,11-05-1996,"Comox, BC, Canada",Canada,2017-2026,213,0,5,5,10,9,"Comox, BC, Canada",Canada
Adolph Kukulowicz,C,02-04-1933,"Winnipeg, MB, Canada",Canada,1952-1954,4,1,0,1,0,2,"Winnipeg, MB, Canada",Canada
Adrian Aucoin,D,03-07-1973,"Ottawa, ON, Canada",Canada,1994-2013,1108,121,278,399,793,18,"Ottawa, ON, Canada",Canada
Adrien Plavsic,D,13-01-1970,"Montreal, QC, Canada",Canada,1989-1997,214,16,56,72,161,8,"Montreal, QC, Canada",Canada
Akil Thomas,C,02-01-2000,"Toronto, ON, Canada",Canada,2023-2025,32,4,3,7,9,2,"Toronto, ON, Canada",Canada
Akito Hirose,D,09-04-1999,"Calgary, AB, Canada",Canada,2022-2024,10,0,3,3,4,2,"Calgary, AB, Canada",Canada
Al Arbour,D,01-11-1932,"Sudbury, ON, Canada",Canada,1953-1971,626,12,58,70,617,16,"Sudbury, ON, Canada",Canada
Al Buchanan,L,17-05-1927,"Winnipeg, MB, Canada",Canada,1948-1950,4,0,1,1,2,2,"Winnipeg, MB, Canada",Canada
Al Cameron,D,21-10-1955,"Edmonton, AB, Canada",Canada,1975-1981,282,11,44,55,356,6,"Edmonton, AB, Canada",Canada
Al Conroy,C,17-01-1966,"Calgary, AB, Canada",Canada,1991-1994,114,9,14,23,156,3,"Calgary, AB, Canada",Canada
Al Dewsbury,D,12-04-1926,"Goderich, ON, Canada",Canada,1946-1956,357,30,78,108,365,9,"Goderich, ON, Canada",Canada
Al Hamilton,D,20-08-1946,"Flin Flon, MB, Canada",Canada,1965-1980,257,10,78,88,258,7,"Flin Flon, MB, Canada",Canada
Al Hill,C,22-04-1955,"Nanaimo, BC, Canada",Canada,1976-1988,221,40,55,95,227,8,"Nanaimo, BC, Canada",Canada
Al Huggins,L,21-12-1910,"Toronto, ON, Canada",Canada,1930-1931,20,1,1,2,2,1,"Toronto, ON, Canada",Canada
Al Jensen,G,27-11-1958,"Hamilton, ON, Canada",Canada,1980-1987,179,0,4,4,44,7,"Hamilton, ON, Canada",Canada
Al Johnson,R,30-03-1935,"Winnipeg, MB, Canada",Canada,1956-1963,105,21,28,49,30,4,"Winnipeg, MB, Canada",Canada
Al Karlander,C,05-11-1946,"Lac La Hache, BC, Canada",Canada,1969-1973,212,36,56,92,70,4,"Lac La Hache, BC, Canada",Canada
Al LeBrun,D,01-12-1940,"Timmins, ON, Canada",Canada,1960-1966,6,0,2,2,4,2,"Timmins, ON, Canada",Canada
Al MacAdam,F,16-03-1952,"Charlottetown, PE, Canada",Canada,1973-1985,864,240,351,591,509,12,"Charlottetown, PE, Canada",Canada
Al MacInnis,D,11-07-1963,"Inverness, NS, Canada",Canada,1981-2004,1416,340,934,1274,1501,23,"Inverness, NS, Canada",Canada
Al MacNeil,D,27-09-1935,"Sydney, NS, Canada",Canada,1955-1968,524,17,75,92,617,11,"Sydney, NS, Canada",Canada
Al McDonough,R,06-06-1950,"St. Catharines, ON, Canada",Canada,1970-1978,237,73,88,161,73,5,"St. Catharines, ON, Canada",Canada
Al McLeod,D,17-06-1949,"Medicine Hat, AB, Canada",Canada,1973-1974,26,2,2,4,24,1,"Medicine Hat, AB, Canada",Canada
Al Millar,G,18-09-1929,"Winnipeg, MB, Canada",Canada,1957-1958,6,0,0,0,0,1,"Winnipeg, MB, Canada",Canada
Al Murray,D,10-11-1908,"Stratford, ON, Canada",Canada,1933-1940,277,5,9,14,163,7,"Stratford, ON, Canada",Canada
Al Nicholson,L,26-04-1936,"Estevan, SK, Canada",Canada,1955-1957,19,0,1,1,4,2,"Estevan, SK, Canada",Canada
Al Rittinger,R,28-01-1925,"Regina, SK, Canada",Canada,1943-1944,19,3,7,10,0,1,"Regina, SK, Canada",Canada
Al Rollins,G,09-10-1926,"Vanguard, SK, Canada",Canada,1949-1960,430,0,1,1,43,9,"Vanguard, SK, Canada",Canada
Al Secord,L,03-03-1958,"Sudbury, ON, Canada",Canada,1978-1990,766,273,222,495,2093,12,"Sudbury, ON, Canada",Canada
Al Simmons,D,25-09-1951,"Winnipeg, MB, Canada",Canada,1971-1976,11,0,1,1,21,3,"Winnipeg, MB, Canada",Canada
Al Sims,D,18-04-1953,"Toronto, ON, Canada",Canada,1973-1983,476,49,116,165,286,10,"Toronto, ON, Canada",Canada
Al Smith,G,10-11-1945,"Toronto, ON, Canada",Canada,1965-1981,231,0,7,7,145,10,"Toronto, ON, Canada",Canada
Al Tuer,D,19-07-1963,"Regina, SK, Canada",Canada,1985-1990,57,1,1,2,208,4,"Regina, SK, Canada",Canada
Alain Belanger,R,18-01-1956,"St. Janvier, QC, Canada",Canada,1977-1978,9,0,1,1,6,1,"St. Janvier, QC, Canada",Canada
Alain Caron,R,27-04-1938,"Dolbeau, QC, Canada",Canada,1967-1969,60,9,13,22,18,2,"Dolbeau, QC, Canada",Canada
Alain Chevrier,G,23-04-1961,"Cornwall, ON, Canada",Canada,1985-1991,234,0,11,11,35,6,"Cornwall, ON, Canada",Canada
Alain Cote,L,03-05-1957,"Matane, QC, Canada",Canada,1979-1989,696,103,190,293,383,10,"Matane, QC, Canada",Canada
Alain Cote,D,14-04-1967,"Montmagny, QC, Canada",Canada,1985-1994,119,2,18,20,124,9,"Montmagny, QC, Canada",Canada
Alain Daigle,F,24-08-1954,"Trois-Rivieres, QC, Canada",Canada,1974-1980,389,56,50,106,122,6,"Trois-Rivieres, QC, Canada",Canada
Alain Langlais,R,09-10-1950,"Chicoutimi, QC, Canada",Canada,1973-1975,25,4,4,8,10,2,"Chicoutimi, QC, Canada",Canada
Alain Lemieux,C,24-05-1961,"Montreal, QC, Canada",Canada,1981-1987,119,28,44,72,38,6,"Montreal, QC, Canada",Canada
Alain Nasreddine,D,10-07-1975,"Montreal, QC, Canada",Canada,1998-2008,74,1,4,5,84,5,"Montreal, QC, Canada",Canada
Alain Raymond,G,26-06-1965,"Rimouski, QC, Canada",Canada,1987-1988,1,0,0,0,0,1,"Rimouski, QC, Canada",Canada
Alain Vigneault,D,14-05-1961,"Quebec, QC, Canada",Canada,1981-1983,42,2,5,7,82,2,"Quebec, QC, Canada",Canada
"Alan ""Red"" Staley",F,21-09-1928,"Regina, SK, Canada",Canada,1948-1949,1,0,1,1,0,1,"Regina, SK, Canada",Canada
"Alan ""Skip"" Teal",C,17-07-1933,"Ridgeway, ON, Canada",Canada,1954-1955,1,0,0,0,0,1,"Ridgeway, ON, Canada",Canada
Alan Haworth,C,01-09-1960,"Drummondville, QC, Canada",Canada,1980-1988,524,189,211,400,425,8,"Drummondville, QC, Canada",Canada
Alan Kerr,R,28-03-1964,"Hazelton, BC, Canada",Canada,1984-1993,391,72,94,166,826,9,"Hazelton, BC, Canada",Canada
Alan Kuntz,L,04-06-1919,"Toronto, ON, Canada",Canada,1941-1946,45,10,12,22,12,2,"Toronto, ON, Canada",Canada
Alan Letang,D,04-09-1975,"Renfrew, ON, Canada",Canada,1999-2003,14,0,0,0,2,3,"Renfrew, ON, Canada",Canada
Alan May,L,14-01-1965,"Barrhead, AB, Canada",Canada,1987-1995,393,31,45,76,1348,8,"Barrhead, AB, Canada",Canada
Alan Quine,C,25-02-1993,"Belleville, ON, Canada",Canada,2015-2020,106,10,18,28,22,5,"Belleville, ON, Canada",Canada
Alan Stewart,L,31-01-1964,"Fort Saint John, BC, Canada",Canada,1985-1992,64,6,4,10,243,6,"Fort Saint John, BC, Canada",Canada
"Albert ""Babe"" Siebert",L,14-01-1904,"Plattsville, ON, Canada",Canada,1925-1939,593,140,156,296,982,14,"Plattsville, ON, Canada",Canada
"Albert ""Battleship"" Leduc",D,22-11-1902,"Valleyfield, QC, Canada",Canada,1925-1935,384,58,35,93,614,10,"Valleyfield, QC, Canada",Canada
"Albert ""Toots"" Holway",D,24-09-1902,"Belleville, ON, Canada",Canada,1923-1929,117,7,2,9,48,5,"Belleville, ON, Canada",Canada
Albert Hughes,C,13-05-1901,"Guelph, ON, Canada",Canada,1930-1932,60,6,8,14,22,2,"Guelph, ON, Canada",Canada
Albert Langlois,D,06-11-1934,"Magog, QC, Canada",Canada,1957-1966,497,21,91,112,488,9,"Magog, QC, Canada",Canada
"Aldege ""Baz"" Bastien",G,29-08-1919,"Timmins, ON, Canada",Canada,1945-1946,5,0,0,0,0,1,"Timmins, ON, Canada",Canada
Aldo Guidolin,D,06-06-1932,"Forks of Credit, ON, Canada",Canada,1952-1956,182,9,15,24,117,4,"Forks of Credit, ON, Canada",Canada
Alec Connell,G,08-02-1902,"Ottawa, ON, Canada",Canada,1924-1937,417,0,0,0,4,12,"Ottawa, ON, Canada",Canada
Alek Stojanov,R,25-04-1973,"Windsor, ON, Canada",Canada,1994-1997,107,2,5,7,222,3,"Windsor, ON, Canada",Canada
"Alex ""Bud"" Cook",C,15-11-1907,"Kingston, ON, Canada",Canada,1931-1935,51,5,4,9,22,3,"Kingston, ON, Canada",Canada
Alex Auld,G,07-01-1981,"Cold Lake, AB, Canada",Canada,2001-2012,237,0,7,7,12,10,"Cold Lake, AB, Canada",Canada
Alex Barre-Boulet,C,21-05-1997,"Montmagny, QC, Canada",Canada,2020-2026,72,12,7,19,16,6,"Montmagny, QC, Canada",Canada
Alex Belzile,R,31-08-1991,"Riviere-du-Loup, QC, Canada",Canada,2019-2023,44,6,9,15,17,4,"Riviere-du-Loup, QC, Canada",Canada
Alex Biega,D,04-04-1988,"Montreal, QC, Canada",Canada,2014-2022,243,4,38,42,122,8,"Montreal, QC, Canada",Canada
Alex Chiasson,R,01-10-1990,"Montreal, QC, Canada",Canada,2012-2023,651,120,113,233,359,11,"Montreal, QC, Canada",Canada
Alex Delvecchio,C,04-12-1931,"Fort William, ON, Canada",Canada,1950-1974,1550,456,825,1281,383,24,"Fort William, ON, Canada",Canada
Alex Faulkner,C,21-05-1936,"Bishops Falls, NL, Canada",Canada,1961-1964,101,15,17,32,15,3,"Bishops Falls, NL, Canada",Canada
Alex Formenton,L,13-09-1999,"Barrie, ON, Canada",Canada,2017-2022,109,23,16,39,71,4,"Barrie, ON, Canada",Canada
Alex Forsyth,F,06-01-1955,"Galt, ON, Canada",Canada,1976-1977,1,0,0,0,0,1,"Galt, ON, Canada",Canada
Alex Friesen,C,30-01-1991,"St.Catharines, ON, Canada",Canada,2015-2016,1,0,0,0,0,1,"St.Catharines, ON, Canada",Canada
Alex Grant,D,20-01-1989,"Antigonish, NS, Canada",Canada,2013-2016,7,2,0,2,9,2,"Antigonish, NS, Canada",Canada
Alex Henry,D,18-10-1979,"Elliot Lake, ON, Canada",Canada,2002-2009,177,2,9,11,269,4,"Elliot Lake, ON, Canada",Canada
Alex Hicks,L,04-09-1969,"Calgary, AB, Canada",Canada,1995-2000,258,25,54,79,247,5,"Calgary, AB, Canada",Canada
Alex Kaleta,L,29-11-1919,"Canmore, AB, Canada",Canada,1941-1951,386,92,121,213,202,7,"Canmore, AB, Canada",Canada
Alex Kerfoot,C,11-08-1994,"Vancouver, BC, Canada",Canada,2017-2026,639,105,200,305,223,9,"Vancouver, BC, Canada",Canada
Alex McKendry,F,21-11-1956,"Midland, ON, Canada",Canada,1977-1981,46,3,6,9,21,4,"Midland, ON, Canada",Canada
Alex McKinnon,R,17-04-1895,"Sault Ste. Marie, ON, Canada",Canada,1924-1929,195,19,10,29,230,5,"Sault Ste. Marie, ON, Canada",Canada
Alex Motter,D,20-06-1913,"Melville, SK, Canada",Canada,1934-1943,265,39,64,103,135,8,"Melville, SK, Canada",Canada
Alex Newhook,C,28-01-2001,"St. John's, NL, Canada",Canada,2020-2026,338,70,81,151,88,6,"St. John's, NL, Canada",Canada
Alex Nylander,L,02-03-1998,"Calgary, AB, Canada",Canada,2016-2025,126,25,24,49,30,7,"Calgary, AB, Canada",Canada
Alex Pietrangelo,D,18-01-1990,"King City, ON, Canada",Canada,2008-2025,1087,148,489,637,355,17,"King City, ON, Canada",Canada
Alex Pirus,C,12-01-1955,"Toronto, ON, Canada",Canada,1976-1980,159,30,28,58,94,4,"Toronto, ON, Canada",Canada
Alex Plante,D,09-05-1989,"Brandon, MB, Canada",Canada,2009-2012,10,0,2,2,15,3,"Brandon, MB, Canada",Canada
Alex Ritson,C,07-03-1922,"Peace River, AB, Canada",Canada,1944-1945,1,0,0,0,0,1,"Peace River, AB, Canada",Canada
Alex Shibicky,L,19-05-1914,"Winnipeg, MB, Canada",Canada,1935-1946,322,110,91,201,161,8,"Winnipeg, MB, Canada",Canada
Alex Singbush,D,31-01-1914,"Winnipeg, MB, Canada",Canada,1940-1941,32,0,5,5,15,1,"Winnipeg, MB, Canada",Canada
Alex Smart,L,29-05-1918,"Ottawa, ON, Canada",Canada,1942-1943,8,5,2,7,0,1,"Ottawa, ON, Canada",Canada
Alex Tanguay,L,21-11-1979,"Sainte-Justine, QC, Canada",Canada,1999-2016,1088,283,580,863,527,16,"Sainte-Justine, QC, Canada",Canada
Alex Tidey,R,05-01-1955,"Vancouver, BC, Canada",Canada,1976-1980,9,0,0,0,8,3,"Vancouver, BC, Canada",Canada
Alexander Killorn,L,14-09-1989,"Halifax, NS, Canada",Canada,2012-2026,1032,250,322,572,605,14,"Halifax, NS, Canada",Canada
Alexander Petrovic,D,03-03-1992,"Edmonton, AB, Canada",Canada,2012-2026,323,7,53,60,411,10,"Edmonton, AB, Canada",Canada
Alexander Steen,L,01-03-1984,"Winnipeg, MB, Canada",Canada,2005-2020,1018,245,377,622,454,15,"Winnipeg, MB, Canada",Canada
Alexandre Bolduc,C,26-06-1985,"Montreal, QC, Canada",Canada,2008-2015,65,2,3,5,44,6,"Montreal, QC, Canada",Canada
Alexandre Burrows,R,11-04-1981,"Pincourt, QC, Canada",Canada,2005-2018,913,205,204,409,1134,13,"Pincourt, QC, Canada",Canada
Alexandre Carrier,D,08-10-1996,"Quebec, QC, Canada",Canada,2016-2026,369,20,89,109,205,8,"Quebec, QC, Canada",Canada
Alexandre Daigle,R,07-02-1975,"Montreal, QC, Canada",Canada,1993-2006,616,129,198,327,186,10,"Montreal, QC, Canada",Canada
Alexandre Fortin,L,25-02-1997,"Blainville, QC, Canada",Canada,2018-2019,24,3,3,6,2,1,"Blainville, QC, Canada",Canada
Alexandre Giroux,C,16-06-1981,"Quebec, QC, Canada",Canada,2005-2012,48,6,6,12,26,6,"Quebec, QC, Canada",Canada
Alexandre Grenier,R,05-09-1991,"Laval, QC, Canada",Canada,2015-2017,9,0,0,0,2,2,"Laval, QC, Canada",Canada
Alexandre Picard,D,05-07-1985,"Gatineau, QC, Canada",Canada,2005-2012,253,19,50,69,86,7,"Gatineau, QC, Canada",Canada
Alexandre Picard,L,09-10-1985,"Les Saules, QC, Canada",Canada,2005-2010,67,0,2,2,58,5,"Les Saules, QC, Canada",Canada
Alexis Lafreniere,L,11-10-2001,"Saint-Eustache, QC, Canada",Canada,2020-2026,462,116,134,250,176,6,"Saint-Eustache, QC, Canada",Canada
Alf Pike,F,15-09-1917,"Winnipeg, MB, Canada",Canada,1939-1947,234,42,77,119,145,6,"Winnipeg, MB, Canada",Canada
Alf Skinner,R,26-01-1896,"Toronto, ON, Canada",Canada,1917-1926,70,26,4,30,79,4,"Toronto, ON, Canada",Canada
Alfie Michaud,G,06-11-1976,"Selkirk, MB, Canada",Canada,1999-2000,2,0,0,0,0,1,"Selkirk, MB, Canada",Canada
Alfie Moore,G,01-12-1906,"Toronto, ON, Canada",Canada,1936-1939,20,0,0,0,0,3,"Toronto, ON, Canada",Canada
"Alfred ""Pit"" Lepine",C,30-07-1901,"Bellevue, QC, Canada",Canada,1925-1938,523,143,98,241,392,13,"Bellevue, QC, Canada",Canada
"Alfred ""Red"" Carr",L,29-12-1916,"Winnipeg, MB, Canada",Canada,1943-1944,5,0,1,1,4,1,"Winnipeg, MB, Canada",Canada
Allan Bester,G,26-03-1964,"Hamilton, ON, Canada",Canada,1983-1996,219,0,8,8,32,10,"Hamilton, ON, Canada",Canada
Allan Egeland,C,31-01-1973,"Lethbridge, AB, Canada",Canada,1995-1998,17,0,0,0,16,3,"Lethbridge, AB, Canada",Canada
Allan Rourke,D,06-03-1980,"Mississauga, ON, Canada",Canada,2003-2008,55,1,4,5,31,4,"Mississauga, ON, Canada",Canada
Allan Shields,D,10-05-1907,"Ottawa, ON, Canada",Canada,1927-1938,457,42,46,88,637,11,"Ottawa, ON, Canada",Canada
Allan Stanley,D,01-03-1926,"Timmins, ON, Canada",Canada,1948-1969,1244,100,333,433,792,21,"Timmins, ON, Canada",Canada
Allen Pedersen,D,13-01-1965,"Fort Saskatchewan, AB, Canada",Canada,1986-1994,428,5,36,41,487,8,"Fort Saskatchewan, AB, Canada",Canada
Allen York,G,17-06-1989,"Wetaskiwin, AB, Canada",Canada,2011-2012,11,0,0,0,0,1,"Wetaskiwin, AB, Canada",Canada
"Alvin ""Buck"" Jones",D,16-08-1917,"Owen Sound, ON, Canada",Canada,1938-1943,50,2,2,4,36,4,"Owen Sound, ON, Canada",Canada
Alvin Fisher,R,05-01-1893,"Sault Ste. Marie, ON, Canada",Canada,1924-1925,9,1,0,1,4,1,"Sault Ste. Marie, ON, Canada",Canada
Alyn McCauley,C,29-05-1977,"Brockville, ON, Canada",Canada,1997-2007,488,69,97,166,116,9,"Brockville, ON, Canada",Canada
Amby Moran,D,27-08-1896,"Winnipeg, MB, Canada",Canada,1926-1928,35,1,1,2,24,2,"Winnipeg, MB, Canada",Canada
